# session boot=2 t=33.214
101.448 j1850: 29 FE 60 01 11 | CRC OK
101.453 j1850: 68 FF 60 03 AD | CRC OK
101.602 j1850: 68 FF 40 03 D8 | CRC OK
101.612 j1850: 29 FE 40 01 64 | CRC OK
102.218 j1850: 8C FE 10 60 1F | CRC OK
102.285 j1850: 28 FF 10 01 07 07 | CRC OK
102.350 j1850: 28 FF 10 01 07 07 | CRC OK
102.481 j1850: 68 FF 10 03 86 | CRC OK
102.490 j1850: A8 69 10 86 00 00 D7 | CRC OK
102.495 j1850: 08 62 40 20 01 96 | CRC OK
102.502 j1850: 28 1B 10 02 00 00 D5 | CRC OK
102.508 j1850: 48 92 40 2A 00 00 1E | CRC OK
102.514 j1850: 28 1B 10 02 00 00 D5 | CRC OK
102.519 j1850: 68 FF 40 03 D8 | CRC OK
102.528 j1850: 48 29 10 02 00 00 56 | CRC OK | speed_raw=0
102.532 j1850: 48 DA 40 39 00 70 | CRC OK
102.536 j1850: 68 93 60 2A 00 00 16 | CRC OK
102.540 j1850: 48 3B 40 02 29 | CRC OK
102.545 j1850: 68 88 10 83 62 | CRC OK
102.549 j1850: 48 3B 40 A0 B2 | CRC OK
102.556 j1850: C8 88 10 0E BA | CRC OK
102.563 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
102.571 j1850: A8 49 10 10 3D 77 | CRC OK | temp=0x3D
102.579 j1850: 28 1B 10 02 00 00 D5 | CRC OK
102.584 j1850: C8 89 60 83 B9 | CRC OK
102.590 j1850: A8 83 10 8A 00 00 03 | CRC OK
102.596 j1850: E8 89 60 0E 54 | CRC OK
102.604 j1850: 28 93 10 02 00 8C | CRC OK
102.612 j1850: 08 63 10 20 01 73 | CRC OK
102.620 j1850: 68 88 10 0B AC | CRC OK
102.629 j1850: 68 63 10 26 00 85 | CRC OK
102.636 j1850: 68 62 10 01 E1 | CRC OK
102.646 j1850: 28 1B 10 02 00 00 D5 | CRC OK
102.653 j1850: 68 62 10 21 66 | CRC OK
102.677 j1850: 09 63 10 20 B7 | CRC OK
102.688 j1850: 08 62 40 20 01 96 | CRC OK
102.695 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
102.702 j1850: 08 63 10 20 01 73 | CRC OK
102.711 j1850: 28 1B 10 02 00 00 D5 | CRC OK
102.739 j1850: 48 DA 40 39 00 70 | CRC OK
102.777 j1850: 28 1B 10 02 00 00 D5 | CRC OK
102.843 j1850: 28 1B 10 02 00 00 D5 | CRC OK
102.908 j1850: 28 1B 10 02 00 00 D5 | CRC OK
102.974 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.038 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.044 j1850: 68 FF 60 03 AD | CRC OK
103.105 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.170 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.186 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
103.218 j1850: 68 FF 10 03 86 | CRC OK
103.226 j1850: 68 88 10 83 62 | CRC OK
103.236 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.241 j1850: C8 88 10 0E BA | CRC OK
103.247 j1850: C8 89 60 83 B9 | CRC OK
103.267 j1850: E8 89 60 0E 54 | CRC OK
103.301 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.367 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.432 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.498 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.563 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.629 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.678 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
103.695 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.760 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.826 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.891 j1850: 28 1B 10 02 00 00 D5 | CRC OK
103.957 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.022 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.088 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.153 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.169 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
104.219 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.226 j1850: 68 88 10 83 62 | CRC OK
104.234 j1850: C8 88 10 0E BA | CRC OK
104.239 j1850: C8 89 60 83 B9 | CRC OK
104.273 j1850: E8 89 60 0E 54 | CRC OK
104.284 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.350 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.403 j1850: 68 FF 40 03 D8 | CRC OK
104.415 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.481 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.537 j1850: 68 FF 60 03 AD | CRC OK
104.547 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.612 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.661 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
104.678 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.743 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.809 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.874 j1850: 28 1B 10 02 00 00 D5 | CRC OK
104.940 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.005 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.071 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.136 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.152 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
105.176 j1850: 48 DA 40 39 00 70 | CRC OK
105.202 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.217 j1850: 68 FF 10 03 86 | CRC OK
105.225 j1850: 68 88 10 83 62 | CRC OK
105.232 j1850: C8 88 10 0E BA | CRC OK
105.238 j1850: C8 89 60 83 B9 | CRC OK
105.259 j1850: E8 89 60 0E 54 | CRC OK
105.267 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.333 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.399 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.464 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.530 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.595 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.644 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
105.661 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.726 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.792 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.857 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.923 j1850: 28 1B 10 02 00 00 D5 | CRC OK
105.988 j1850: 28 1B 10 02 00 00 D5 | CRC OK
106.054 j1850: 28 1B 10 02 00 00 D5 | CRC OK
106.119 j1850: 28 1B 10 02 00 00 D5 | CRC OK
106.135 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
106.185 j1850: 28 1B 10 02 00 00 D5 | CRC OK
106.192 j1850: 68 88 10 03 44 | CRC OK
106.206 j1850: C8 89 60 03 9F | CRC OK
106.216 j1850: 68 88 10 03 44 | CRC OK
106.225 j1850: C8 88 10 0E BA | CRC OK
106.233 j1850: C8 89 60 03 9F | CRC OK
106.239 j1850: E8 89 60 0E 54 | CRC OK
106.251 j1850: 28 1B 10 02 00 00 D5 | CRC OK
106.316 j1850: 28 1B 10 02 00 00 D5 | CRC OK
106.382 j1850: 28 1B 10 02 00 00 D5 | CRC OK
