# session boot=1 t=107.426
111.939 j1850: 28 1B 10 02 16 B0 B8 | CRC OK
112.004 j1850: 28 1B 10 02 16 74 F9 | CRC OK
112.070 j1850: 28 1B 10 02 16 40 C7 | CRC OK
112.135 j1850: 28 1B 10 02 16 34 EA | CRC OK
112.142 j1850: 68 88 10 03 44 | CRC OK
112.150 j1850: C8 88 10 0E BA | CRC OK
112.160 j1850: C8 89 60 03 9F | CRC OK
112.175 j1850: E8 89 60 0E 54 | CRC OK
112.201 j1850: 28 1B 10 02 15 58 36 | CRC OK
112.266 j1850: 28 1B 10 02 15 14 B9 | CRC OK
112.332 j1850: 28 1B 10 02 15 7C C5 | CRC OK
112.380 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
112.397 j1850: 28 1B 10 02 15 F8 97 | CRC OK
112.463 j1850: 28 1B 10 02 15 E8 5A | CRC OK
112.504 j1850: A8 83 10 0A 02 08 B3 | CRC OK
112.511 j1850: A8 49 10 10 40 AF | CRC OK | temp=0x40
112.529 j1850: 28 1B 10 02 15 EC 2E | CRC OK
112.594 j1850: 28 1B 10 02 15 F8 97 | CRC OK
112.660 j1850: 28 1B 10 02 16 04 A0 | CRC OK
112.725 j1850: 28 1B 10 02 16 A4 01 | CRC OK
112.790 j1850: 28 1B 10 02 15 E4 C6 | CRC OK
112.856 j1850: 28 1B 10 02 15 EC 2E | CRC OK
112.872 j1850: A8 3B 10 03 02 00 | CRC BAD
112.922 j1850: 28 1B 10 02 16 A4 01 | CRC OK
112.987 j1850: 28 1B 10 02 16 C8 09 | CRC OK
113.053 j1850: 28 1B 10 02 16 88 1A | CRC OK
113.117 j1850: 28 1B 10 02 16 F0 AB | CRC OK
113.123 j1850: 68 FF 60 03 AD | CRC OK
113.133 j1850: 68 FF 10 03 86 | CRC OK
113.141 j1850: 68 88 10 03 44 | CRC OK
113.150 j1850: C8 88 10 0E BA | CRC OK
113.172 j1850: C8 89 60 03 9F | CRC OK
113.176 j1850: E8 89 60 0E 54 | CRC OK
113.184 j1850: 28 1B 10 02 16 C8 09 | CRC OK
113.249 j1850: 28 1B 10 02 17 10 55 | CRC OK
113.315 j1850: 28 1B 10 02 16 B8 50 | CRC OK
113.363 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
113.380 j1850: 28 1B 10 02 16 24 27 | CRC OK
113.438 j1850: 68 FF 40 03 D8 | CRC OK
113.446 j1850: 28 1B 10 02 15 E8 5A | CRC OK
113.512 j1850: 28 1B 10 02 15 88 CE | CRC OK
113.577 j1850: 28 1B 10 02 15 A8 49 | CRC OK
113.642 j1850: 28 1B 10 02 16 10 19 | CRC OK
113.708 j1850: 28 1B 10 02 16 A8 9D | CRC OK
113.774 j1850: 28 1B 10 02 16 CC 7D | CRC OK
113.839 j1850: 28 1B 10 02 16 6C DC | CRC OK
113.855 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
113.905 j1850: 28 1B 10 02 16 48 2F | CRC OK
113.970 j1850: 28 1B 10 02 16 B8 50 | CRC OK
114.036 j1850: 28 1B 10 02 16 A0 75 | CRC OK
114.101 j1850: 28 1B 10 02 16 00 D4 | CRC OK
114.132 j1850: 68 88 10 03 44 | CRC OK
114.141 j1850: C8 88 10 0E BA | CRC OK
114.147 j1850: C8 89 60 03 9F | CRC OK
114.166 j1850: 28 1B 10 02 15 F4 0B | CRC OK
114.171 j1850: E8 89 60 0E 54 | CRC OK
114.232 j1850: 28 1B 10 02 15 B8 84 | CRC OK
114.298 j1850: 28 1B 10 02 16 14 6D | CRC OK
114.346 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
114.363 j1850: 28 1B 10 02 15 F8 97 | CRC OK
114.429 j1850: 28 1B 10 02 16 50 0A | CRC OK
114.494 j1850: 28 1B 10 02 16 14 6D | CRC OK
114.520 j1850: A8 83 10 0A 02 1C 0A | CRC OK
114.560 j1850: 28 1B 10 02 16 98 D7 | CRC OK
114.626 j1850: 28 1B 10 02 16 64 34 | CRC OK
114.691 j1850: 28 1B 10 02 15 94 9F | CRC OK
114.739 j1850: A8 49 10 10 41 B2 | CRC OK | temp=0x41
114.757 j1850: 28 1B 10 02 15 F8 97 | CRC OK
114.822 j1850: 28 1B 10 02 15 88 CE | CRC OK
114.838 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
114.888 j1850: 28 1B 10 02 15 A0 A1 | CRC OK
114.953 j1850: 28 1B 10 02 15 78 B1 | CRC OK
115.019 j1850: 28 1B 10 02 15 18 25 | CRC OK
115.084 j1850: 28 1B 10 02 16 24 A0 | CRC BAD
115.132 j1850: 68 FF 10 03 86 | CRC OK
115.136 j1850: 68 FF 60 03 AD | CRC OK
115.142 j1850: 68 88 10 03 44 | CRC OK
115.150 j1850: 28 1B 10 02 15 A0 A1 | CRC OK
115.157 j1850: C8 88 10 0E BA | CRC OK
115.165 j1850: C8 89 60 03 9F | CRC OK
