# session boot=3 t=16.945
43.562 j1850: C8 88 10 0E BA | CRC OK
43.580 j1850: E8 89 60 0E 54 | CRC OK
43.609 j1850: 28 1B 10 02 00 00 D5 | CRC OK
43.674 j1850: 28 1B 10 02 00 00 D5 | CRC OK
43.725 j1850: 68 FF 40 03 D8 | CRC OK
43.740 j1850: 28 1B 10 02 00 00 D5 | CRC OK
43.805 j1850: 28 1B 10 02 00 00 D5 | CRC OK
43.871 j1850: 28 1B 10 02 00 00 D5 | CRC OK
43.904 j1850: 68 FF 60 03 AD | CRC OK
43.936 j1850: 28 1B 10 02 00 00 D5 | CRC OK
43.985 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
44.002 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.067 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.133 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.199 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.264 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.312 j1850: A8 49 10 10 7A 37 | CRC OK | temp=0x7A
44.330 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.395 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.461 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.477 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
44.507 j1850: 48 DA 40 39 00 70 | CRC OK
44.526 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.541 j1850: 68 FF 10 03 86 | CRC OK
44.550 j1850: 68 88 10 83 62 | CRC OK
44.558 j1850: C8 88 10 0E BA | CRC OK
44.579 j1850: C8 89 60 83 B9 | CRC OK
44.584 j1850: E8 89 60 0E 54 | CRC OK
44.592 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.657 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.723 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.788 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.854 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.919 j1850: 28 1B 10 02 00 00 D5 | CRC OK
44.968 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
44.985 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.051 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.116 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.182 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.247 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.313 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.378 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.444 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.460 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
45.509 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.516 j1850: 68 88 10 03 44 | CRC OK
45.524 j1850: C8 89 60 03 9F | CRC OK
45.541 j1850: 68 88 10 03 44 | CRC OK
45.546 j1850: C8 89 60 03 9F | CRC OK
45.553 j1850: C8 88 10 0E BA | CRC OK
45.571 j1850: E8 89 60 0E 54 | CRC OK
45.579 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.640 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.706 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.754 j1850: 68 FF 40 03 D8 | CRC OK
45.771 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.837 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.903 j1850: 28 1B 10 02 00 00 D5 | CRC OK
45.921 j1850: 68 FF 60 03 AD | CRC OK
45.951 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
45.968 j1850: 28 1B 10 02 00 00 D5 | CRC OK
46.034 j1850: 28 1B 10 02 00 00 D5 | CRC OK
46.099 j1850: 28 1B 10 02 00 00 D5 | CRC OK
46.165 j1850: 28 1B 10 02 00 00 D5 | CRC OK
46.230 j1850: 28 1B 10 02 00 00 D5 | CRC OK
